sentence	label
中国旅游研究院发布清明假日旅游市场报告 城市休闲复苏 周边旅游活跃	正面
云南上市公司2019年度分红近90亿元 “现金红包”均落袋彰显实力和责任	正面
【开源食饮每日资讯0623】舍得酒业拟6331.9万元购买沱牌镇土地和房屋	正面
在激光切割技术领域取得重大突破宇通客车再获国家科技进步奖	中性
财面儿丨首创股份上半年归母净利润预计同比增长25%到35%	正面
保利置业拟转让湖北保利建筑100%股权，底价1.27亿	中性
厦门象屿：成功发行15亿元超短期融资券 利率为1.68%	正面
大佬买什么？买京沪深的上车盘，不如买保利地产	中性
联通河南偃师市分公司原总经理被查出不作为 致公司房产租金损失	负面
联通电信合作再进一步，在桂5G双栈共享基站建设迎新突破	正面
多家银行确认了！暂停这项交易	中性
南京高科股份有限公司关于控股股东部分股份解除冻结的公告	中性
资本圈 | 港龙中国7月15日上市 招商蛇口、复地各融资30亿	中性
昆吾九鼎投资控股股份有限公司关于	负面
完美世界、上港集团等23股遭重要股东减持超亿元	负面
中远海能：预计上半年净利润同比增长488%-531%_7x24小时财经新闻_新浪网	正面
华电国际95台燃煤机组92台超低排放 受益电价涨煤价降扣非净利翻倍	正面
冠城大通股份有限公司关于召开2019年年度股东大会的通知	中性
安徽皖通高速公路股份有限公司2018年年度股东大会决议公告	中性
07月13日醋酸2640.00元/吨 5天上涨3.80%	中性
补涨序幕悄然拉开 此类股爆发在即	正面
新疆火炬：九鼎投资累计减持143.82万股 占比1.02％	负面
中远海能(600026)2020年中报预增点评：上半年业绩大幅增长 关注中期油运周期上行	正面
楚天高速年报：计提5.46亿商誉减值准备 2019年扣非净利	负面
上海机场大跌	负面
签约！《长三角地区省际交通互联互通建设合作协议》	正面
前6个月销量近1.5万辆 宇通客车上半年战绩出炉	中性
2020年1-5月中国液晶电视机出口量同比下降8.2%	负面
白云机场(600004)公司点评：机场集团成为扩建主体 或利好公司远期业绩提升	正面
1617份A股中报冰与火： “宅经济”利润狂飙 航空、影视业急速冰冻	中性
军工板块掀涨停潮！强势股已三连板 核心标的来了	正面
东北证券：中远海能(01138)签署LNG项目造船及租船合同，助力第二发展曲线	正面
国信证券--2020年7月银行业投资策略：静待花开	中性
国信证券--房地产行业周报：百强房企销售延续修复 供给端因素致淡季不淡	中性
浙江古越龙山绍兴酒股份有限公司2019年年度股东大会决议公告	中性
广州白云国际机场股份有限公司2020年7月生产经营数据快报	中性
贵州盘江精煤股份有限公司2020年半年度报告摘要	中性
武汉本地股大爆发 当地三大支柱产业成为风口(附股)	正面
2020《财富》中国500强发布 看看中国宝武哪五家子公司上榜	正面
安信证券--海外科技行业：6月网上实物零售增速接近去年高位	中性
科技股强势领涨上演王者归来 A股优势凸显再成全球避风港	中性
保利地产7月以61.4亿元新增9宗地块 均为商住和住宅用地	中性
厦门象屿：上半年净利润同比增14.51%	正面
TCL电子收购TCL通讯 智能家居战略“看上去很美”	中性
央企上半年利润减三成，三大领域整合或提速	负面
07月05日醋酸2400.00元/吨 5天上涨4.96%	中性
利好！四川路桥：铁投集团耗资1.52亿增持383万股	正面
统计局：一线城市新建商品房住宅价格微涨	正面
华能水电短期融资券发行 总额为20亿元	正面
Mysteel：本周调研数据一览（6月1日-6月5日）	中性
盘前有料丨网易公开发售价最高126港元；证监会：严厉打击上市公司财务造假等违法违规行为	中性
宝钢股份2020年8月份热轧卷板价格政策	中性
景区“破冰” 旅企“收红包”	中性
【公告抢先看】晚间重要公告：兆易创新已出售所持全部中芯国际H股股票、楚天高速计提5.46亿商誉减值准备	负面
喵博士资讯 | 上半年互联网企业收入5907亿元；新联通研究院正式起航	正面
东风赌岚图,岚图救东风	正面
这10家公司发布公告有看点 机构牢牢紧盯这类潜力个股	中性
【重要公告】马明哲辞任中国平安CEO 多家公司上半年业绩大涨	正面
酿酒股走强 古越龙山触及涨停	正面
打造国内领先的工业烟气治理综合服务商	正面
首创股份：创业者、守业者、拓业者	中性
京东大药房推动药企品类共建 恩威医药与千金药业达成医药电商战略合作	正面
上交所对四川路桥及有关责任人予以监管关注	负面
